Unnamed: 0,ticker,security,industry,subindustry,headquarters,added,founded,marketCap
336.0,NEM,Newmont Corporation,Materials,Gold,"Denver, Colorado",1969-06-30,1921,53572550656.0
337.0,NWSA,News Corp. Class A,Communication Services,Publishing,"New York, New York",2013-08-01,,7481665024.0
338.0,NWS,News Corp. Class B,Communication Services,Publishing,"New York, New York",2015-09-18,,7475793408.0
339.0,NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,1984 (1925),137168000000.0
340.0,NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York",2013-07-09,1923,5322186752.0
341.0,NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30,,153062000000.0
342.0,NI,NiSource Inc.,Utilities,Multi-Utilities,"Merrillville, Indiana",,1912,9393888256.0
343.0,NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2007-10-08,,5226524672.0
344.0,NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia",1957-03-04,1881/1894 (1980),47908036608.0
345.0,NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,1889,15821309952.0
346.0,NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1985-06-30,,52126363648.0
347.0,NLOK,NortonLifeLock,Information Technology,Application Software,"Tempe, Arizona",2003-03-25,,12046414848.0
348.0,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017-10-13,2011 (1966),3961891072.0
349.0,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",2010-01-29,,8345334272.0
350.0,NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina",1985-04-30,,12903634944.0
351.0,NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,,250785000000.0
352.0,NVR,NVR Inc,Consumer Discretionary,Homebuilding,"Reston, VA",2019-09-26,1980,14056870912.0
353.0,ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",2009-03-27,,32832952320.0
354.0,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1982-12-31,1920,15565002752.0
355.0,ODFL,Old Dominion Freight Line,Industrials,Trucking,"Thomasville, North Carolina",2019-12-09,1934,21494843392.0
356.0,OMC,Omnicom Group,Communication Services,Advertising,"New York, New York",,1986,12119846912.0
357.0,OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15,,12751995904.0
358.0,ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California",1989-08-31,,170772000000.0
359.0,OTIS,Otis Worldwide,Industrials,Industrial Machinery,"Farmington, Connecticut",2020-04-03,2020 (1853),25174882304.0
360.0,PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",1980-12-31,1905,29642633216.0
361.0,PKG,Packaging Corporation of America,Materials,Paper Packaging,"Lake Forest, Illinois",2017-07-26,,9748891648.0
362.0,PH,Parker-Hannifin,Industrials,Industrial Machinery,"Cleveland, Ohio",1985-11-30,,23445760000.0
