,ticker,security,industry,subindustry,headquarters,added,founded
456,UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2014-05-01,
457,UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2016-04-08,
458,UNP,Union Pacific Corp,Industrials,Railroads,"Omaha, Nebraska",1957-03-04,1862
459,UAL,United Airlines Holdings,Industrials,Airlines,"Chicago, Illinois",2015-09-03,1967
460,UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,
461,UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",2002-07-22,1907
462,URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20,1997
463,UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,
464,UNM,Unum Group,Financials,Life & Health Insurance,"Chattanooga, Tennessee",1994-03-01,
465,VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",1979-06-30,1899
466,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1980
467,VAR,Varian Medical Systems,Health Care,Health Care Equipment,"Palo Alto, California",2007-02-12,
468,VTR,Ventas Inc,Real Estate,Health Care REITs,"Chicago, Illinois",2009-03-04,
469,VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2006-02-01,
470,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1971
471,VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,"New York, New York",1983-11-30,1983 (1877)
472,VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts",2013-09-23,
473,VIAC,ViacomCBS,Communication Services,Movies & Entertainment,"New York, New York",,2019 (1952)
474,V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",2009-12-21,
475,VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York, New York",,1982
476,VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",1999-06-30,1909
477,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,1967
478,WAB,Wabtec Corporation,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania",2019-02-27,1999 (1869)
479,WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982-08-31,1962
480,WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979-12-31,2014
481,DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30,1923
482,WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,"Houston, Texas",,1968
483,WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",,1958
484,WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31,1896
485,WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",1976-06-30,1852
486,WELL,Welltower Inc.,Real Estate,Health Care REITs,"Toledo, Ohio",2009-01-30,1970
487,WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",2020-05-22,1923
488,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",2009-07-01,1970
489,WU,Western Union Co,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",2006-09-29,1851
490,WRK,WestRock,Materials,Paper Packaging,"Richmond, Virginia",,2015
491,WY,Weyerhaeuser,Real Estate,Specialized REITs,"Federal Way, Washington",,1900
492,WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,1911
