 ,ticker,security,industry,subindustry,HQ City,HQ State,HQ Country,added,founded, marketCap 
188,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,Rockville, Maryland,USA,2/1/2016,," $5,520,452,608.00 "
,FSLY,Fastly,Information Technology,Software - Application,San Francisco,California,USA, ,2011," $8,132,160,512.00 "
437,FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,London, ,UK,6/5/2009,2017 (1958)," $3,458,116,352.00 "
200,FTNT,Fortinet,Information Technology,Systems Software,Sunnyvale, California,USA,10/11/2018,2000," $21,505,781,760.00 "
201,FTV,Fortive Corp,Industrials,Industrial Machinery,Everett, Washington,USA,7/1/2016,2016," $23,916,775,424.00 "
,GC=F,,,,,,USA,,,
210,GD,General Dynamics,Industrials,Aerospace & Defense,Falls Church, Virginia,USA,3/4/1957,1899," $43,072,778,240.00 "
211,GE,General Electric,Industrials,Industrial Conglomerates,Boston, Massachusetts,USA,,1892," $60,005,036,032.00 "
215,GILD,Gilead Sciences,Health Care,Biotechnology,Foster City, California,USA,7/1/2004,," $92,371,812,352.00 "
212,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,Golden Valley, Minnesota,USA,3/31/1969,1856," $39,171,887,104.00 "
216,GL,Globe Life Inc.,Financials,Life & Health Insurance,McKinney, Texas,USA,4/30/1989,," $8,554,422,272.00 "
127,GLW,Corning Inc.,Information Technology,Electronic Components,Corning, New York,USA,,1851," $22,288,166,912.00 "
213,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,Detroit, Michigan,USA,6/6/2013,1908," $37,565,849,600.00 "
,GOLD,Barrick Gold,Basic Materials,Gold,Toronto,Ontario,Canada, ,1983," $50,570,000,000.00 "
23,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Mountain View, California,USA,4/3/2006,1998," $1,032,400,000,000.00 "
22,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,Mountain View, California,USA,4/3/2014,1998," $1,029,180,000,000.00 "
214,GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,Atlanta, Georgia,USA,12/31/1973,1925," $12,787,206,144.00 "
217,GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,Atlanta, Georgia,USA,4/25/2016,," $51,634,667,520.00 "
207,GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,San Francisco, California,USA,8/31/1986,," $4,713,204,224.00 "
208,GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,Schaffhausen,, Switzerland,12/12/2012,," $18,479,081,472.00 "
218,GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,New York, New York,USA,7/22/2002,," $69,282,914,304.00 "
,GSK,GlaxoSmithKline,Health Care,Drug Manufacturers - General,Brentford,,UK,,," $202,150,000,000.00 "
219,GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,Lake Forest, Illinois,USA,6/30/1981,1927," $18,253,406,208.00 "
221,HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,Houston, Texas,USA,3/4/1957,1919," $12,904,759,296.00 "
224,HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,Pawtucket, Rhode Island,USA,9/30/1984,," $10,630,683,648.00 "
241,HBAN,Huntington Bancshares,Financials,Regional Banks,Columbus, Ohio,USA,,1866," $9,736,512,512.00 "
222,HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Winston-Salem, North Carolina,USA,3/20/2015,2000," $4,862,049,280.00 "
225,HCA,HCA Healthcare,Health Care,Health Care Facilities,Nashville, Tennessee,USA,1/27/2015,," $42,374,561,792.00 "
234,HD,Home Depot,Consumer Discretionary,Home Improvement Retail,Atlanta, Georgia,USA,3/31/1988,," $285,346,000,000.00 "
229,HES,Hess Corporation,Energy,Integrated Oil & Gas,New York, New York,USA,5/31/1984,," $15,498,485,760.00 "
232,HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,Dallas, Texas,USA,6/18/2018,," $4,367,684,096.00 "
,HG=F,,,,,,USA,,,
223,HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,Hartford, Connecticut,USA,3/4/1957,1810," $14,852,951,040.00 "
242,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,Newport News, Virginia,USA,1/3/2018,2011," $7,166,379,520.00 "
231,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Tysons Corner, Virginia,USA,6/19/2017,1919," $21,468,317,696.00 "
,HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,Milwaukee, Wisconsin,United States,,1903," $4,452,739,072.00 "
233,HOLX,Hologic,Health Care,Health Care Equipment,Marlborough, Massachusetts,USA,3/30/2016,," $15,944,220,672.00 "
235,HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,Morristown, New Jersey,USA,3/31/1964,1906," $104,877,000,000.00 "
230,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",Palo Alto, California,USA,11/2/2015,2015," $12,359,391,232.00 "
239,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Palo Alto, California,USA,12/31/1974,1939 (2015)," $25,024,299,008.00 "
220,HRB,H&R Block,Consumer Discretionary,Specialized Consumer Services,Kansas City, Missouri,USA,11/30/1986,," $2,819,758,848.00 "
236,HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,Austin, Minnesota,USA,3/4/2009,," $27,093,116,928.00 "
227,HSIC,Henry Schein,Health Care,Health Care Distributors,Melville, New York,USA,3/17/2015,," $9,568,934,912.00 "
237,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,Bethesda, Maryland,USA,3/20/2007,," $7,402,068,992.00 "
228,HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,Hershey, Pennsylvania,USA,3/4/1957,1894," $30,302,896,128.00 "
240,HUM,Humana Inc.,Health Care,Managed Health Care,Louisville, Kentucky,USA,,1961," $51,843,264,512.00 "
238,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,New York, New York,USA,3/31/1964,2016," $6,781,402,112.00 "
252,IBM,International Business Machines,Information Technology,IT Consulting & Other Services,Armonk, New York,USA,3/4/1957,1911," $111,688,000,000.00 "
251,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,Atlanta, Georgia,USA,9/26/2007,2000," $52,708,425,728.00 "
244,IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,Westbrook, Maine,USA,1/5/2017,," $30,510,483,456.00 "
243,IEX,IDEX Corporation,Industrials,Industrial Machinery,Lake Forest, Illinois,USA,8/9/2019,1988," $12,640,960,512.00 "
255,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,New York, New York,USA,3/31/1976,1958 (1889)," $13,561,116,672.00 "
247,ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,San Diego, California,USA,11/19/2015,," $56,190,750,720.00 "
248,INCY,Incyte,Health Care,Biotechnology,Wilmington, Delaware,USA,2/28/2017,," $21,611,223,040.00 "
245,INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,London,,UK,6/2/2017,1959," $31,554,328,576.00 "
250,INTC,Intel Corp.,Information Technology,Semiconductors,Santa Clara, California,USA,12/31/1976,1968," $214,198,000,000.00 "
256,INTU,Intuit Inc.,Information Technology,Application Software,Mountain View, California,USA,12/5/2000,," $75,279,376,384.00 "
253,IP,International Paper,Materials,Paper Packaging,Memphis, Tennessee,USA,3/4/1957,1898," $14,275,249,152.00 "
254,IPG,Interpublic Group,Communication Services,Advertising,New York, New York,USA,10/1/1992,," $7,227,339,776.00 "
259,IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,Oxford, Massachusetts,USA,3/7/2018,," $9,295,207,424.00 "
260,IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,Durham, North Carolina,USA,8/29/2017,1982," $30,202,445,824.00 "
249,IR,Ingersoll Rand,Industrials,Industrial Machinery,Milwaukee, Wisconsin,USA,3/3/2020,1859," $13,164,339,200.00 "
261,IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,Boston, Massachusetts,USA,1/6/2009,," $7,841,933,312.00 "
257,ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,Sunnyvale, California,USA,6/2/2008,," $78,755,635,200.00 "
209,IT,Gartner Inc,Information Technology,IT Consulting & Other Services,Stamford, Connecticut,USA,4/5/2017,," $11,119,244,288.00 "
246,ITW,Illinois Tool Works,Industrials,Industrial Machinery,Glenview, Illinois,USA,2/28/1986,," $58,381,070,336.00 "
258,IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,Atlanta, Georgia,USA,8/21/2008,," $4,790,874,112.00 "
263,J,Jacobs Engineering Group,Industrials,Construction & Engineering,Dallas, Texas,USA,10/26/2007,," $10,920,846,336.00 "
264,JBHT,J. B. Hunt Transport Services,Industrials,Trucking,Lowell, Arkansas,USA,7/1/2015,," $13,799,260,160.00 "
267,JCI,Johnson Controls International,Industrials,Building Products,Cork,, Ireland,8/27/2010,," $27,374,120,960.00 "
262,JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,Monett, Missouri,USA,11/13/2018,1976," $13,759,358,976.00 "
266,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,New Brunswick, New Jersey,USA,6/30/1973,1886," $390,496,000,000.00 "
269,JNPR,Juniper Networks,Information Technology,Communications Equipment,Sunnyvale, California,USA,6/2/2006,1996," $8,111,496,704.00 "
268,JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,New York, New York,USA,6/30/1975,2000 (1799 / 1871)," $299,518,000,000.00 "
,JWN,Nordstrom,Consumer Discretionary,Department Stores,Seattle, Washington,United States,8/31/1986,," $2,364,916,992.00 "
271,K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,Battle Creek, Michigan,USA,,1906," $23,534,577,664.00 "
272,KEY,KeyCorp,Financials,Regional Banks,Cleveland, Ohio,USA,3/1/1994,," $11,955,350,528.00 "
273,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,Santa Rosa, California,USA,11/6/2018,2014," $18,114,533,376.00 "
279,KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,Chicago,Illinois,USA,7/6/2015,2015 (1869)," $42,373,066,752.00 "
275,KIM,Kimco Realty,Real Estate,Retail REITs,New Hyde Park, New York,USA,4/4/2006,," $4,649,643,520.00 "
277,KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,Milpitas, California,USA,,1975/1977 (1997)," $29,181,771,776.00 "
274,KMB,Kimberly-Clark,Consumer Staples,Household Products,Irving, Texas,USA,3/4/1957,1872," $50,176,196,608.00 "
276,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,Houston, Texas,USA,5/25/2012,1997," $32,226,232,320.00 "
86,KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,Richmond, Virginia,USA,6/28/2010,," $15,893,581,824.00 "
115,KO,Coca-Cola Company,Consumer Staples,Soft Drinks,Atlanta, Georgia,USA,3/4/1957,1886," $208,286,000,000.00 "
280,KR,Kroger Co.,Consumer Staples,Food Retail,Cincinnati, Ohio,USA,3/4/1957,1883," $27,001,810,944.00 "
278,KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,Menomonee Falls, Wisconsin,USA,,1962," $3,290,393,856.00 "
270,KSU,Kansas City Southern,Industrials,Railroads,Kansas City, Missouri,USA,5/24/2013,," $14,595,835,904.00 "
296,L,Loews Corp.,Financials,Multi-line Insurance,New York, New York,USA,,," $10,376,324,096.00 "
281,LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,Columbus, Ohio,USA,9/30/1983,1963," $5,331,538,432.00 "
288,LDOS,Leidos Holdings,Information Technology,IT Consulting & Other Services,Reston, Virginia,USA,8/9/2019,1969," $12,935,947,264.00 "
287,LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,Carthage, Missouri,USA,,1883," $4,752,712,704.00 "
289,LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,Miami, Florida,USA,10/4/2005,1954," $21,124,036,608.00 "
283,LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,Burlington, North Carolina,USA,11/1/2004,," $19,317,528,576.00 "
282,LHX,L3Harris Technologies,Industrials,Aerospace & Defense,Melbourne, Florida,USA,,2019 (1895)," $36,965,580,800.00 "
292,LIN,Linde plc,Materials,Industrial Gases,Guildford, ,UK,7/1/1992,1879," $128,182,000,000.00 "
294,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,Chicago, Illinois,USA,5/23/2016,," $8,498,945,024.00 "
290,LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,Indianapolis, Indiana,USA,12/31/1970,1876," $152,592,000,000.00 "
295,LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,Bethesda, Maryland,USA,7/31/1984,," $107,962,000,000.00 "
291,LNC,Lincoln National,Financials,Multi-line Insurance,Radnor, Pennsylvania,USA,6/30/1976,1905," $7,189,864,960.00 "
20,LNT,Alliant Energy Corp,Utilities,Electric Utilities,Madison, Wisconsin,USA,7/1/2016,1917," $13,253,652,480.00 "
,LOGI,Logitech,Information Technology,Computer Hardware,Lausanne,,Switzerland,,1981," $11,898,882,048.00 "
297,LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,Mooresville, North Carolina,USA,2/29/1984,1904/1946/1959," $111,008,000,000.00 "
284,LRCX,Lam Research,Information Technology,Semiconductor Equipment,Fremont, California,USA,6/29/2012,," $50,185,408,512.00 "
421,LUV,Southwest Airlines,Industrials,Airlines,Dallas, Texas,USA,7/1/1994,," $18,659,960,832.00 "
,LVGO,Livongo Health,Health Care,Medical Devices,Mountain View,California,United States, ,2008," $10,674,768,896.00 "
286,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,Las Vegas, Nevada,USA,10/3/2019,1988," $33,879,062,528.00 "
285,LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,Eagle, Idaho,USA,12/3/2018,2016 (1950)," $9,899,984,896.00 "
298,LYB,LyondellBasell,Materials,Specialty Chemicals,Rotterdam,, Netherlands,9/5/2012,2007," $22,852,831,232.00 "
293,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,Beverly Hills, California,USA,12/23/2019,2010," $10,315,258,880.00 "
307,MA,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,Harrison, New York,USA,7/18/2008,," $308,068,000,000.00 "
320,MAA,Mid-America Apartments,Real Estate,Residential REITs,Memphis, Tennessee,USA,12/2/2016,," $12,723,834,880.00 "
303,MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Bethesda, Maryland,USA,,1927," $28,372,400,128.00 "
306,MAS,Masco Corp.,Industrials,Building Products,Livonia, Michigan,USA,6/30/1981,1929," $14,269,145,088.00 "
,MASI,Masimo,Health Care,Medical Instruments & Supplies,Irvine,California,United States, ,1989," $12,630,000,000.00 "
310,MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,Chicago, Illinois,USA,6/30/1970,1940," $147,759,000,000.00 "
317,MCHP,Microchip Technology,Information Technology,Semiconductors,Chandler, Arizona,USA,9/7/2007,," $25,298,014,208.00 "
311,MCK,McKesson Corp.,Health Care,Health Care Distributors,Irving, Texas,USA,,1833," $25,183,098,880.00 "
325,MCO,Moody's Corp,Financials,Financial Exchanges & Data,New York, New York,USA,,1909," $54,314,999,808.00 "
323,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,Chicago, Illinois,USA,10/2/2012,," $78,324,727,808.00 "
312,MDT,Medtronic plc,Health Care,Health Care Equipment,Dublin,, Ireland,10/31/1986,1949," $129,234,000,000.00 "
314,MET,MetLife Inc.,Financials,Life & Health Insurance,New York, New York,USA,,1868," $34,688,053,248.00 "
316,MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,Paradise, Nevada,USA,7/26/2017,," $7,787,912,192.00 "
321,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,Calhoun, Georgia,USA,12/23/2013,," $6,051,394,048.00 "
308,MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,Hunt Valley, Maryland,USA,,1889," $25,776,670,720.00 "
302,MKTX,MarketAxess,Financials,Financial Exchanges & Data,New York, New York,USA,7/1/2019,2000," $19,175,358,464.00 "
305,MLM,Martin Marietta Materials,Materials,Construction Materials,Raleigh, North Carolina,USA,7/2/2014,," $13,920,288,768.00 "
304,MMC,Marsh & McLennan,Financials,Insurance Brokers,New York, New York,USA,8/31/1987,," $58,011,361,280.00 "
0,MMM,3M Company,Industrials,Industrial Conglomerates,St. Paul, Minnesota,USA,8/9/1976,1902," $91,939,332,096.00 "
324,MNST,Monster Beverage,Consumer Staples,Soft Drinks,Corona, California,USA,6/28/2012,," $39,429,111,808.00 "
24,MO,Altria Group Inc,Consumer Staples,Tobacco,Richmond, Virginia,USA,3/4/1957,1985," $77,772,783,616.00 "
327,MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,Tampa, Florida,USA,9/26/2011,2004 (1865 / 1909)," $5,181,203,456.00 "
301,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,Findlay, Ohio,USA,7/1/2011,2009 (1887)," $25,165,101,056.00 "
313,MRK,Merck & Co.,Health Care,Pharmaceuticals,Kenilworth, New Jersey,USA,3/4/1957,1891," $194,608,000,000.00 "
,MRNA,Moderna,Health Care,Biotechnology,Cambridge,Massachusetts,United States,9/1/2010,," $66,540,000,000.00 "
300,MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,Houston, Texas,USA,5/1/1991,," $4,520,584,704.00 "
,MRVL,Marvell Technology,Information Technology,Semiconductors,Hamilton,,Bermuda, ,1995," $23,278,848,000.00 "
326,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,New York, New York,USA,,1935," $79,066,619,904.00 "
329,MSCI,MSCI Inc,Financials,Financial Exchanges & Data,New York, New York,USA,4/4/2018,1969," $32,238,680,064.00 "
319,MSFT,Microsoft Corp.,Information Technology,Systems Software,Redmond, Washington,USA,6/1/1994,1975," $1,524,040,000,000.00 "
328,MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,Chicago, Illinois,USA,,1928 (2011)," $24,103,596,032.00 "
299,MTB,M&T Bank Corp.,Financials,Regional Banks,Buffalo, New York,USA,2/23/2004,1856," $13,485,339,648.00 "
315,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,Columbus, Ohio,USA,9/6/2016,," $20,625,477,632.00 "
318,MU,Micron Technology,Information Technology,Semiconductors,Boise, Idaho,USA,9/27/1994,," $55,572,221,952.00 "
309,MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,San Jose, California,USA,12/3/2018,1983," $17,902,495,744.00 "
330,MYL,Mylan N.V.,Health Care,Pharmaceuticals,Amsterdam,, Netherlands,4/23/2004,1961," $8,250,474,496.00 "
